start_s,end_s,class,mean_confidence
0.0,10.0,silence,0.633
10.0,15.0,other,0.6588
15.0,20.0,silence,0.8237
20.0,35.0,other,0.5789
35.0,50.0,silence,0.5795
50.0,55.0,other,0.7381
55.0,65.0,silence,0.5953
65.0,75.0,other,0.6426
75.0,90.0,silence,0.6131
90.0,105.0,other,0.6491
105.0,125.0,silence,0.5928
125.0,135.0,other,0.565
135.0,155.0,silence,0.5616
155.0,160.0,other,0.5474
160.0,205.0,silence,0.598
205.0,210.0,other,0.5547
210.0,215.0,silence,0.4985
215.0,220.0,other,0.4765
220.0,230.0,silence,0.6317
230.0,240.0,other,0.5435
240.0,265.0,silence,0.6843
265.0,270.0,other,0.5471
270.0,275.0,silence,0.77
275.0,280.0,other,0.5039
280.0,300.0,silence,0.6088
300.0,310.0,other,0.5658
310.0,320.0,silence,0.6421
320.0,325.0,other,0.5993
325.0,330.0,silence,0.7897
330.0,335.0,other,0.6847
335.0,350.0,silence,0.6612
350.0,355.0,other,0.5495
355.0,410.0,silence,0.7037
410.0,420.0,other,0.6756
420.0,435.0,silence,0.5812
435.0,440.0,other,0.5318
440.0,445.0,silence,0.5284
445.0,450.0,other,0.5347
450.0,455.0,silence,0.7053
455.0,470.0,other,0.6158
470.0,475.0,silence,0.6812
475.0,480.0,other,0.5515
480.0,495.0,silence,0.6575
495.0,500.0,other,0.6032
500.0,520.0,silence,0.6556
520.0,525.0,other,0.6266
525.0,540.0,silence,0.6562
540.0,550.0,other,0.5805
550.0,560.0,silence,0.7112
560.0,565.0,other,0.5632
565.0,585.0,silence,0.6861
585.0,590.0,other,0.6745
590.0,595.0,silence,0.5363
595.0,605.0,other,0.5489
605.0,610.0,silence,0.446
610.0,615.0,other,0.573
615.0,625.0,silence,0.7214
625.0,640.0,other,0.6076
640.0,645.0,silence,0.5628
645.0,650.0,other,0.5049
650.0,655.0,silence,0.7029
655.0,660.0,other,0.6013
660.0,665.0,silence,0.6054
665.0,670.0,other,0.6897
670.0,695.0,silence,0.6643
695.0,700.0,other,0.7234
700.0,720.0,silence,0.7029
720.0,725.0,other,0.4968
725.0,775.0,silence,0.6306
775.0,780.0,other,0.5488
780.0,790.0,silence,0.57
790.0,795.0,other,0.5099
795.0,810.0,silence,0.6116
810.0,815.0,other,0.7185
815.0,825.0,silence,0.6794
825.0,830.0,other,0.8414
830.0,855.0,silence,0.5935
855.0,860.0,other,0.6596
860.0,865.0,silence,0.6019
865.0,875.0,other,0.562
875.0,880.0,silence,0.519
880.0,890.0,other,0.572
890.0,895.0,silence,0.6022
895.0,900.0,other,0.5114
900.0,925.0,silence,0.5939
925.0,935.0,other,0.5718
935.0,940.0,silence,0.6158
940.0,950.0,other,0.6048
950.0,970.0,silence,0.6133
970.0,980.0,other,0.5773
980.0,995.0,silence,0.5812
995.0,1015.0,other,0.5242
1015.0,1045.0,silence,0.6124
1045.0,1050.0,other,0.7792
1050.0,1060.0,silence,0.6107
1060.0,1065.0,other,0.5722
1065.0,1080.0,silence,0.6023
1080.0,1095.0,other,0.6304
1095.0,1125.0,silence,0.5964
1125.0,1130.0,other,0.5094
1130.0,1145.0,silence,0.7103
1145.0,1155.0,other,0.5826
1155.0,1190.0,silence,0.6457
1190.0,1195.0,other,0.4988
1195.0,1200.0,silence,0.5711
1200.0,1210.0,other,0.6461
1210.0,1220.0,silence,0.6281
1220.0,1230.0,other,0.59
1230.0,1255.0,silence,0.6255
1255.0,1260.0,other,0.5805
1260.0,1265.0,silence,0.4984
1265.0,1270.0,other,0.5431
1270.0,1290.0,silence,0.6639
1290.0,1300.0,other,0.5484
1300.0,1310.0,silence,0.7078
1310.0,1320.0,other,0.5615
1320.0,1330.0,silence,0.5187
1330.0,1355.0,other,0.6238
1355.0,1365.0,silence,0.6494
1365.0,1375.0,other,0.6812
1375.0,1395.0,silence,0.605
1395.0,1400.0,other,0.5438
