start_s,end_s,label
363.423,370.437,silence
451.833,452.044,vocal
453.087,453.327,other
453.628,453.838,other
454.156,455.911,other
463.255,463.616,other
463.691,463.703,click
470.803,471.01,other
471.625,471.814,other
472.167,472.32,other
472.598,472.819,other
475.89,476.054,other
476.528,479.827,other
485.033,487.262,other
487.856,489.107,other
489.638,490.1,other
490.336,492.867,other
493.674,494.1,other
505.699,505.89,other
508.557,508.717,vocal
510.352,510.431,vocal
510.678,510.776,vocal
512.004,514.918,silence
518.051,519.214,other
520.532,523.311,other
524.067,526.971,other
532.124,532.728,other
532.8,532.926,vocal
534.277,535.348,other
535.739,536.463,other
537.558,538.165,other
545.16,545.433,other
545.553,547.13,other
548.509,548.648,vocal
550.57,550.727,vocal
553.951,565.67,other
569.687,569.832,vocal
570.828,570.87,vocal
588.779,588.909,vocal
589.186,589.309,vocal
589.58,589.674,vocal
589.968,590.094,vocal
590.325,590.472,vocal
590.779,590.887,vocal
591.215,591.309,vocal
591.646,591.759,vocal
592.078,592.208,vocal
592.476,592.599,vocal
592.937,592.998,vocal
593.346,593.418,vocal
593.812,593.869,vocal
594.214,594.317,vocal
594.659,594.766,vocal
614.886,615.002,vocal
640.442,640.657,vocal
653.319,653.35,click
657.922,658.165,vocal
658.242,658.564,vocal
658.625,658.937,vocal
676.133,682.338,silence
738.444,738.543,vocal
738.778,738.845,vocal
832.944,833.176,other
841.148,841.244,vocal
847.499,847.6,vocal
850.574,850.714,vocal
856.409,857.007,other
859.284,863.709,silence
875.587,875.646,vocal
884.677,884.736,vocal
888.512,888.627,vocal
924.281,924.302,click
1048.623,1048.673,vocal
1054.756,1057.425,water
1059.558,1062.688,silence
1115.417,1115.472,vocal
1118.873,1118.938,vocal
1145.327,1145.506,vocal
1149.972,1150.148,vocal
1150.723,1150.915,vocal
1157.364,1157.47,vocal
1157.973,1158.137,vocal
1181.32,1210.322,vocal
