start_s,end_s,label
0.136,74.688,other
90.179,90.198,vocal
126.437,126.554,vocal
154.168,157.055,silence
164.636,172.567,silence
197.208,197.323,vocal
198.091,198.17,vocal
205.617,206.301,other
209.087,210.033,other
374.732,461.106,other
467.729,467.785,vocal
468.07,468.114,vocal
468.418,468.466,vocal
468.816,468.882,vocal
469.418,469.492,vocal
471.41,471.445,vocal
471.597,471.643,vocal
471.994,472.035,vocal
472.184,472.261,vocal
472.692,472.727,vocal
472.923,473.001,vocal
473.274,473.331,vocal
473.435,473.484,vocal
473.522,473.551,vocal
473.648,473.688,vocal
474.034,474.066,vocal
474.714,474.769,vocal
475.034,475.082,vocal
475.303,475.388,vocal
475.706,475.804,vocal
476.02,476.123,vocal
476.28,476.347,vocal
477.264,477.313,vocal
477.774,477.842,vocal
478.132,478.209,vocal
478.439,478.496,vocal
479.415,479.467,vocal
480.098,480.131,vocal
480.162,480.187,vocal
480.378,480.424,vocal
480.481,480.509,vocal
480.667,480.749,silence
480.821,480.901,vocal
480.936,480.975,vocal
481.084,481.173,silence
481.219,481.316,vocal
481.433,481.46,vocal
481.776,481.868,vocal
482.025,482.055,silence
482.254,482.312,silence
482.704,482.775,vocal
483.039,483.129,vocal
483.5,483.556,vocal
483.831,483.851,vocal
484.764,484.861,vocal
485.18,485.209,vocal
485.424,485.505,vocal
485.68,485.718,silence
485.885,485.937,vocal
486.544,486.624,vocal
487.186,487.234,vocal
487.586,487.65,vocal
488.012,488.057,vocal
488.283,488.339,vocal
488.602,488.658,vocal
488.96,489.004,vocal
489.279,489.325,vocal
489.572,489.637,vocal
489.932,489.991,vocal
490.263,490.312,vocal
490.72,490.755,vocal
491.417,491.449,vocal
491.662,491.709,vocal
492.139,492.185,vocal
492.479,492.523,vocal
492.936,492.97,vocal
496.805,496.877,vocal
497.08,497.139,vocal
500.873,501.764,silence
503.28,503.355,vocal
503.873,503.916,vocal
503.963,503.997,vocal
504.074,504.119,vocal
505.89,505.927,vocal
507.155,507.185,vocal
509.523,509.562,vocal
510.428,510.46,vocal
512.126,512.169,vocal
513.072,513.095,vocal
513.622,513.663,vocal
514.398,514.431,vocal
514.696,514.732,vocal
515.685,516.953,silence
517.554,517.581,vocal
517.83,517.86,vocal
518.189,518.223,vocal
519.475,519.498,vocal
519.537,519.572,vocal
519.761,519.815,vocal
519.819,519.869,vocal
520.08,520.113,vocal
520.206,520.232,vocal
520.32,520.362,vocal
520.632,520.68,vocal
521.648,521.672,vocal
521.7,521.728,vocal
521.839,521.921,vocal
521.978,521.995,vocal
522.165,522.206,vocal
522.31,522.353,vocal
522.653,522.697,vocal
523.243,523.31,silence
523.793,523.812,vocal
525.59,525.66,vocal
526.227,526.277,vocal
526.302,526.334,vocal
526.421,526.443,vocal
526.788,526.807,vocal
526.992,527.032,vocal
527.676,527.696,vocal
528.298,528.312,vocal
529.053,529.09,vocal
529.175,529.203,vocal
530.123,530.145,vocal
530.281,530.322,vocal
530.426,530.478,vocal
530.759,530.802,vocal
531.118,531.15,vocal
531.224,531.281,vocal
531.328,531.361,vocal
532.768,532.805,vocal
532.886,532.903,vocal
533.057,533.093,vocal
533.818,533.852,vocal
535.518,535.532,vocal
535.638,535.663,vocal
536.244,536.279,vocal
536.596,536.631,vocal
537.904,538.001,vocal
538.808,538.826,vocal
539.231,539.271,vocal
539.834,539.864,vocal
545.954,545.983,vocal
546.381,546.403,vocal
546.58,546.624,vocal
546.951,547.007,vocal
548.383,548.433,vocal
550.275,550.318,vocal
554.932,554.962,silence
555.814,555.856,vocal
556.055,556.073,vocal
558.319,558.359,vocal
559.065,559.092,vocal
559.24,559.275,vocal
559.285,559.326,vocal
559.391,559.409,vocal
559.475,559.502,vocal
560.235,560.266,vocal
562.018,562.064,vocal
562.527,562.571,vocal
562.598,562.611,vocal
563.024,563.069,vocal
565.437,565.479,vocal
565.495,565.531,vocal
565.573,565.591,vocal
565.677,565.723,vocal
569.346,569.401,vocal
570.072,570.085,vocal
570.155,570.173,vocal
570.58,570.627,vocal
570.683,570.717,vocal
573.516,573.544,vocal
573.642,573.679,vocal
575.45,575.515,vocal
575.716,575.742,vocal
577.518,577.558,vocal
581.195,581.235,vocal
583.243,583.288,vocal
583.693,583.747,vocal
588.8,588.808,vocal
588.925,588.933,vocal
589.321,589.346,vocal
589.502,589.522,vocal
589.631,589.659,vocal
589.702,589.753,vocal
589.879,589.919,vocal
590.012,590.038,vocal
592.292,592.328,vocal
592.338,592.384,vocal
592.695,592.741,vocal
592.76,592.809,vocal
595.148,595.185,vocal
596.337,596.398,vocal
598.52,598.596,vocal
599.522,599.588,vocal
601.874,601.904,vocal
601.997,602.015,vocal
602.056,602.082,vocal
602.607,602.657,vocal
604.074,604.134,vocal
604.386,604.445,vocal
604.519,604.548,vocal
607.802,607.838,vocal
609.329,609.383,vocal
612.202,612.269,vocal
612.352,612.377,vocal
612.759,612.775,vocal
614.459,614.47,vocal
618.999,619.019,vocal
621.268,621.319,vocal
634.38,635.344,water
687.722,687.904,water
701.055,706.288,silence
787.319,787.379,vocal
873.368,873.728,water
1216.187,1216.223,vocal
1216.554,1216.572,vocal
1217.639,1217.652,vocal
1217.847,1217.902,vocal
1219.04,1219.082,vocal
1219.769,1219.819,vocal
1220.195,1220.244,vocal
1220.573,1220.585,vocal
1221.562,1221.614,vocal
1223.314,1223.356,vocal
1224.706,1224.761,vocal
1225.043,1225.064,vocal
1225.172,1225.237,vocal
1225.325,1225.413,vocal
1225.529,1225.584,vocal
1225.882,1225.906,vocal
1225.964,1225.999,vocal
1226.202,1226.267,vocal
1226.302,1226.335,vocal
1227.033,1227.126,vocal
1227.301,1227.433,vocal
1227.651,1227.683,vocal
1227.715,1227.765,vocal
1228.112,1228.148,vocal
1228.171,1228.206,vocal
1229.452,1229.481,vocal
1229.499,1229.507,vocal
1229.737,1229.783,vocal
1229.883,1229.924,vocal
1230.2,1230.251,vocal
1231.057,1231.114,vocal
1232.018,1232.06,vocal
1232.194,1232.287,vocal
1232.502,1232.571,vocal
1232.774,1232.826,vocal
1233.638,1233.685,vocal
1233.992,1234.046,vocal
1234.383,1234.421,vocal
1234.721,1234.766,vocal
1235.103,1235.151,vocal
1235.302,1235.362,silence
1235.457,1235.487,vocal
1236.089,1236.197,vocal
1236.452,1236.544,silence
1236.584,1236.642,vocal
1236.792,1236.825,vocal
1236.931,1236.983,vocal
1237.178,1237.228,vocal
1237.324,1237.383,vocal
1237.591,1237.635,vocal
1237.727,1237.775,vocal
1237.972,1238.008,vocal
1238.024,1238.061,vocal
1238.092,1238.152,vocal
1238.334,1238.348,vocal
1238.499,1238.539,vocal
1238.695,1238.704,vocal
1238.886,1238.908,vocal
1239.076,1239.088,vocal
1239.241,1239.303,vocal
1239.453,1239.502,vocal
1239.609,1239.666,vocal
1240.031,1240.082,vocal
1240.182,1240.194,vocal
1240.868,1240.942,vocal
1241.281,1241.322,vocal
1242.152,1242.205,vocal
1242.293,1242.326,vocal
1242.53,1242.579,vocal
1243.003,1243.047,vocal
1243.351,1243.409,vocal
1243.722,1243.78,vocal
1245.686,1245.718,vocal
1246.113,1246.161,vocal
1246.456,1246.499,vocal
1246.731,1246.78,vocal
1248.278,1248.656,silence
1249.09,1249.151,vocal
1250.055,1250.15,vocal
1250.456,1250.499,vocal
1250.905,1250.941,vocal
1251.144,1251.233,silence
1251.325,1251.364,vocal
1251.502,1251.55,silence
1251.912,1251.951,vocal
1252.065,1252.126,vocal
1253.186,1253.247,vocal
1253.489,1253.554,vocal
1253.814,1253.834,vocal
1255.708,1255.725,vocal
1255.746,1255.794,vocal
1255.838,1255.843,vocal
1256.105,1256.151,vocal
1257.699,1257.801,vocal
1258.093,1258.186,vocal
1258.899,1259.022,vocal
1259.364,1259.428,vocal
1259.64,1259.72,vocal
1260.554,1260.611,vocal
1260.926,1260.996,vocal
1261.284,1261.338,vocal
1262.933,1263.001,vocal
1263.28,1263.337,vocal
1263.637,1263.704,vocal
1263.911,1263.936,vocal
1263.978,1264.042,vocal
1264.267,1264.302,vocal
1264.394,1264.531,silence
1264.701,1264.717,vocal
1265.189,1265.202,vocal
1265.21,1265.221,vocal
1265.291,1265.302,vocal
1265.406,1265.468,vocal
1265.564,1265.585,vocal
1265.676,1265.739,vocal
1265.78,1265.833,vocal
1265.977,1266.029,vocal
1266.053,1266.129,vocal
1266.141,1266.203,silence
1266.355,1266.444,silence
1266.706,1266.778,vocal
1266.996,1267.154,vocal
1267.386,1267.423,vocal
1267.743,1267.762,vocal
1268.72,1268.799,vocal
1269.046,1269.122,vocal
1269.42,1269.48,vocal
1270.825,1270.885,vocal
1271.166,1271.187,vocal
1274.611,1274.661,vocal
1275.013,1275.047,vocal
1275.236,1275.286,vocal
1276.265,1276.344,vocal
1276.396,1276.421,vocal
1276.632,1276.696,vocal
1276.725,1276.749,vocal
1277.388,1277.427,vocal
1278.994,1279.073,vocal
1279.355,1279.406,vocal
1280.32,1280.402,vocal
1280.702,1280.796,vocal
1281.959,1282.027,vocal
